api,bottom,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,interval,cum_oil_365,file_no,TD,Section,Latitude,Longitude,CTB,Well_Status_Date_year,Well_Status_Date_month,Well_Status_Date_day,treatment_date_year,treatment_date_month,treatment_date_day,Spud_Date_year,Spud_Date_month,Spud_Date_day,Well_Status_encod,Wellbore_encod,Range_encod,Township_encod,Current_Operator_encod,Original_Operator_encod,Lease_Name_encod,Lease_Number_encod,County_Name_encod,QQ_encod,Field_Name_encod,Produced_Pools_BAKKEN,Produced_Pools_BAKKEN/THREE FORKS,Produced_Pools_BIRDBEAR,Produced_Pools_DUPEROW,"Produced_Pools_DUPEROW,MADISON",Produced_Pools_LODGEPOLE,Produced_Pools_MADISON,"Produced_Pools_MADISON,TYLER",Produced_Pools_ORDOVICIAN,Produced_Pools_RED RIVER,Produced_Pools_SANISH,Produced_Pools_SPEARFISH,Produced_Pools_SPEARFISH/MADISON,Produced_Pools_THREE FORKS,Produced_Pools_TYLER
33061016650000,19110,76699,8,3221358,338,9507,9507,9350,41.2,2791400,293,1,9603,9507,72724.0,20338,19110.0,4,48.45870765163866,-102.44545528872268,120338.0,2011,7,9,2011,5,22,2011,3,6,0,1,91,157,48,11,2322,24,9,14,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016660000,14893,22000,5,924000,211,4364,4364,8617,30.0,1870020,428,1,10529,4364,110276.0,20346,14893.0,21,47.89041850839422,-102.46628692995571,120346.0,2011,6,14,2011,6,14,2011,2,15,0,1,92,151,46,78,759,2018,9,31,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016690000,19875,89075,9,3741150,401,9314,9314,8669,0.0,3631860,389,1,10561,9314,102957.0,20371,19875.0,9,48.25543651006524,-102.51563426129431,218981.0,2011,8,19,2011,7,27,2011,6,2,0,1,92,155,48,11,1380,29,9,38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016700000,20380,78047,7,3277974,328,9970,9970,9677,0.0,4019380,403,1,10410,9970,168400.0,20373,20380.0,9,48.25543617643121,-102.51573697291376,120373.0,2011,8,13,2011,7,27,2011,5,7,0,1,92,155,48,11,61,421,9,38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016730000,20399,26879,2,1128918,116,9702,9702,8168,0.0,1775016,182,1,10697,9702,82717.0,20392,20399.0,32,48.033965544848854,-102.54620243162051,217285.0,2012,8,15,2012,8,15,2012,6,27,0,1,92,153,54,93,1639,708,9,42,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016740000,20667,23994,2,1007748,100,10046,10046,9206,0.0,1574500,156,1,10621,10046,57535.0,20393,20667.0,10,48.00280075327026,-102.44903990338379,217173.0,2011,8,13,2011,8,13,2011,5,13,0,1,92,152,54,93,1680,662,9,42,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016760000,14860,22000,5,924000,215,4281,4281,7675,31.0,1870020,436,1,10579,4281,134188.0,20403,14860.0,32,47.861294435821065,-102.4900395411077,120403.0,2011,7,6,2011,6,25,2011,4,23,0,1,92,151,46,78,1474,2077,9,31,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016770000,15339,27900,6,1171800,282,4155,4155,9000,0.0,1743418,419,1,11184,4155,106904.0,20406,15339.0,4,48.18332839751586,-102.50892335605604,120406.0,2011,11,7,2011,11,4,2011,3,4,0,1,92,154,45,77,1937,2091,9,37,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016780000,19985,26919,2,1130598,115,9759,9759,8852,0.0,1636560,167,1,10226,9759,60160.0,20415,19985.0,22,48.140086521116544,-102.35969055274113,217080.0,2011,8,28,2011,8,27,2011,4,29,0,1,91,154,54,93,1706,2922,9,43,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061016790000,15410,20948,4,879816,182,4834,4834,7801,32.8,1472996,304,1,10576,4834,112013.0,20422,15426.0,24,47.96402769381911,-102.51901142975314,120422.0,2011,10,5,2011,9,29,2011,7,11,0,1,93,152,46,78,1406,2035,9,37,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
