api,cum_gor_180,cum_gor_30,cum_gor_365,cum_gor_545,cum_gor_730,cum_gor_90,cum_oil_180,cum_oil_30,cum_oil_365,cum_oil_545,cum_oil_730,cum_oil_90,cum_water_180,cum_water_30,cum_water_365,cum_water_545,cum_water_730,cum_water_90,cum_wc_180,cum_wc_30,cum_wc_365,cum_wc_545,cum_wc_730,cum_wc_90
33013016730000,,,,,,,30805.0,1980.0,56029.0,73194.0,,13546.0,73178.0,27253.0,105910.0,129218.0,,50921.0,70.375,93.227,65.401,63.839,,78.988
33013016740000,1268.145,,1364.827,1193.925,1098.38,1160.817,9603.0,0.0,15109.0,19084.0,21751.0,5325.0,19352.0,2952.0,25914.0,31132.0,34239.0,13498.0,66.835,100.0,63.169,61.996,61.152,71.71
33013016750000,263.551,30.272,483.848,578.132,553.175,102.661,27132.0,4955.0,39149.0,47011.0,53276.0,17498.0,137861.0,41376.0,213840.0,268169.0,314914.0,94174.0,83.556,89.305,84.525,85.084,85.53,84.331
33013016760000,457.649,252.515,564.02,529.437,,445.383,21997.0,3649.0,33147.0,40603.0,,12957.0,138208.0,38292.0,201844.0,247892.0,,84589.0,86.269,91.3,85.894,85.926,,86.717
33013016770000,905.493,912.012,1031.921,1158.563,,874.858,34565.0,7376.0,53465.0,67088.0,,19390.0,49798.0,17241.0,73974.0,89618.0,,32288.0,59.028,70.037,58.047,57.189,,62.479
33013016780000,505.793,716.424,533.628,575.187,685.534,358.376,28102.0,1920.0,50091.0,63712.0,75426.0,12021.0,73529.0,25844.0,107806.0,131786.0,156971.0,48424.0,72.349,93.085,68.276,67.41,67.544,80.112
33013016790000,621.378,194.827,710.312,696.616,680.052,411.746,31740.0,6334.0,46947.0,58490.0,67579.0,19921.0,106979.0,33747.0,156977.0,194095.0,219728.0,72595.0,77.119,84.197,76.978,76.843,76.478,78.468
33013016820000,599.222,897.868,585.168,627.004,658.733,484.958,32995.0,2687.0,56289.0,70333.0,81857.0,14691.0,69797.0,28994.0,102866.0,123237.0,144957.0,46648.0,67.901,91.519,64.633,63.665,63.91,76.049
33013016830000,1006.622,1481.117,885.572,818.217,,1080.386,23763.0,2120.0,41846.0,55340.0,,11253.0,74588.0,33632.0,103308.0,126727.0,,52278.0,75.839,94.07,71.171,69.605,,82.287
33013016840000,1181.257,1246.051,1196.624,1273.888,,1177.295,72522.0,7766.0,109400.0,132968.0,,40852.0,66970.0,4990.0,101572.0,127339.0,,38307.0,48.01,39.119,48.145,48.919,,48.392
33013016850000,819.058,671.811,862.997,,,711.188,61638.0,13692.0,91282.0,,,38325.0,82204.0,32366.0,115044.0,,,58575.0,57.149,70.272,55.758,,,60.449
33013016860000,700.913,572.827,684.44,675.22,721.498,491.009,26428.0,3272.0,53826.0,70478.0,86235.0,12656.0,72278.0,33451.0,107906.0,132877.0,163603.0,51975.0,73.226,91.09,66.719,65.342,65.484,80.418
33013016870000,,894.22,,,,801.952,,8478.0,,,,20899.0,,42558.0,,,,82626.0,,83.388,,,,79.813
33013016890000,435.806,494.474,504.602,595.135,655.882,468.429,30316.0,7129.0,44348.0,77245.0,95251.0,18697.0,57265.0,30644.0,72503.0,103720.0,123657.0,44503.0,65.385,81.127,62.047,57.315,56.488,70.416
